Date	Open	High	Low	Close	Aclose	Volume
Apr 15, 2019	198.58	199.85	198.01	199.23	196.66	17,536,600
Apr 12, 2019	199.20	200.14	196.21	198.87	196.30	27,760,700
Apr 11, 2019	200.85	201.00	198.44	198.95	196.38	20,900,800
Apr 10, 2019	198.68	200.74	198.18	200.62	198.03	21,695,300
Apr 09, 2019	200.32	202.85	199.23	199.50	196.92	35,768,200
Apr 08, 2019	196.42	200.23	196.34	200.10	197.51	25,881,700
Apr 05, 2019	196.45	197.10	195.93	197.00	194.45	18,526,600
Apr 04, 2019	194.79	196.37	193.14	195.69	193.16	19,114,300
Apr 03, 2019	193.25	196.50	193.15	195.35	192.83	23,271,800
Apr 02, 2019	191.09	194.46	191.05	194.02	191.51	22,765,700
Apr 01, 2019	191.64	191.68	188.38	191.24	188.77	27,862,000
Mar 29, 2019	189.83	190.08	188.54	189.95	187.50	23,564,000
Mar 28, 2019	188.95	189.56	187.53	188.72	186.28	20,780,400
Mar 27, 2019	188.75	189.76	186.55	188.47	186.03	29,848,400
Mar 26, 2019	191.66	192.88	184.58	186.79	184.38	49,800,500
Mar 25, 2019	191.51	191.98	186.60	188.74	186.30	43,845,300
Mar 22, 2019	195.34	197.69	190.78	191.05	188.58	42,407,700
Mar 21, 2019	190.02	196.33	189.81	195.09	192.57	51,034,200
Mar 20, 2019	186.23	189.49	184.73	188.16	185.73	31,035,200
Mar 19, 2019	188.35	188.99	185.92	186.53	184.12	31,646,400
Mar 18, 2019	185.80	188.39	185.79	188.02	185.59	26,219,800
Mar 15, 2019	184.85	187.33	183.74	186.12	183.72	39,042,900
Mar 14, 2019	183.90	184.10	182.56	183.73	181.36	23,579,500
Mar 13, 2019	182.25	183.30	180.92	181.71	179.36	31,032,500
Mar 12, 2019	180.00	182.67	179.37	180.91	178.57	32,467,600
Mar 11, 2019	175.49	179.12	175.35	178.90	176.59	32,011,000
Mar 08, 2019	170.32	173.07	169.50	172.91	170.68	23,999,400
Mar 07, 2019	173.87	174.44	172.02	172.50	170.27	24,796,400
Mar 06, 2019	174.67	175.49	173.94	174.52	172.27	20,810,400
Mar 05, 2019	175.94	176.00	174.54	175.53	173.26	19,737,400
Mar 04, 2019	175.69	177.75	173.97	175.85	173.58	27,436,200
Mar 01, 2019	174.28	175.15	172.89	174.97	172.71	25,886,200
Feb 28, 2019	174.32	174.91	172.92	173.15	170.91	28,215,400
Feb 27, 2019	173.21	175.00	172.73	174.87	172.61	27,835,400
Feb 26, 2019	173.71	175.30	173.17	174.33	172.08	17,070,200
Feb 25, 2019	174.16	175.87	173.95	174.23	171.98	21,873,400
Feb 22, 2019	171.58	173.00	171.38	172.97	170.74	18,913,200
Feb 21, 2019	171.80	172.37	170.30	171.06	168.85	17,249,700
Feb 20, 2019	171.19	173.32	170.99	172.03	169.81	26,114,400
